,2class Acc,3class Acc,4class Acc,2class OF,3class OF,4class OF
tmax_1,80.7936507936508,73.09145880574454,62.33560090702948,-4.450113378684804,-7.290249433106553,-4.982993197278908
tmax_3,82.24489795918367,74.27059712773999,65.07936507936509,-5.731292517006807,-7.826908541194257,-7.213718820861658
tmin_-05_tmax_3,81.65532879818595,75.17762660619803,65.27210884353742,-6.428571428571416,-7.959183673469397,-7.392290249433088
tmax_4,82.53968253968254,70.50642479213909,65.03401360544218,-6.275510204081627,-8.518518518518519,-8.137755102040813
tmin_-1_tmax_5,88.54875283446714,80.98261526832955,71.03174603174602,-5.4365079365079225,-9.077853363567655,-8.3248299319728
