,2class Acc,3class Acc,4class Acc,2class OF,3class OF,4class OF
chs_16_csp,75.69160997732426,67.286470143613,57.19954648526077,-2.9421768707482983,-4.58805744520032,-3.8010204081632537
chs_16,78.75283446712018,67.95162509448224,56.89342403628118,-3.1519274376417172,-4.395313681027972,-4.132653061224495
chs_16_2,79.4331065759637,67.0899470899471,56.734693877551024,-2.590702947845813,-4.2705971277399755,-4.297052154195001
chs_16_openbci,79.29705215419501,68.46560846560847,58.01587301587301,-3.157596371882093,-5.2229780801209245,-4.651360544217688
chs_16_bs,80.58956916099773,71.156462585034,61.67800453514739,-2.9535147392290497,-4.206349206349216,-4.458616780045354
